id,citation_id
10.1145/3531146.3533101,10.1145/3593013.3594068
10.1145/3531146.3533101,10.1145/3593013.3594019
10.1145/3531146.3533101,10.1145/3593013.3593983
10.1145/3531146.3533101,10.1609/aaai.v37i13.26798
10.1145/3531146.3533104,10.1145/3593013.3594081
10.1145/3531146.3533104,10.1145/3593013.3593999
10.1145/3531146.3533105,10.1145/3636555.3636869
10.1145/3531146.3533105,10.1145/3611641
10.1145/3531146.3533105,10.1145/3600211.3604697
10.1145/3531146.3533105,10.1007/s43681-022-00218-9
10.1145/3531146.3533106,10.1145/3584931.3606951
10.1145/3531146.3533106,10.1145/3593013.3594090
10.1145/3531146.3533106,10.1145/3593013.3594033
10.1145/3531146.3533106,10.1145/3545945.3569792
10.1145/3531146.3533106,10.1007/s10676-023-09699-6
10.1145/3531146.3533107,10.1145/3617694.3623223
10.1145/3531146.3533107,10.1145/3600211.3604718
10.1145/3531146.3533107,10.1145/3600211.3604661
10.1145/3531146.3533107,10.1145/3593013.3594104
10.1145/3531146.3533107,10.1145/3593013.3594083
10.1145/3531146.3533107,10.1145/3593013.3594060
10.1145/3531146.3533107,10.1145/3593013.3594052
10.1145/3531146.3533107,10.1145/3593013.3594010
10.1145/3531146.3533107,10.1145/3593013.3593985
10.1145/3531146.3533107,10.1145/3593013.3593974
10.1145/3531146.3533107,10.1016/j.ijhcs.2022.102954
10.1145/3531146.3533107,10.1177/20539517231153806
10.1145/3531146.3533107,10.1145/3531146.3533194
10.1145/3531146.3533108,10.1016/j.knosys.2023.111107
10.1145/3531146.3533108,10.1145/3616961.3616969
10.1145/3531146.3533108,10.1016/j.mtcomm.2023.106409
10.1145/3531146.3533108,10.1145/3571884.3604316
10.1145/3531146.3533108,10.1145/3593013.3594108
10.1145/3531146.3533108,10.1145/3593013.3594073
10.1145/3531146.3533108,10.1145/3593013.3594064
10.1145/3531146.3533108,10.1145/3593013.3593994
10.1145/3531146.3533108,10.1145/3593013.3593981
10.1145/3531146.3533108,10.1007/s43681-023-00289-2
10.1145/3531146.3533108,10.1002/asi.24765
10.1145/3531146.3533108,10.1145/3544548.3581518
10.1145/3531146.3533108,10.1145/3544548.3581482
10.1145/3531146.3533108,10.1145/3544548.3581268
10.1145/3531146.3533108,10.1145/3544548.3581242
10.1145/3531146.3533108,10.1145/3544548.3580959
10.1145/3531146.3533108,10.1145/3544548.3580652
10.1145/3531146.3533110,10.1145/3617694.3623254
10.1145/3531146.3533110,10.1145/3584931.3611279
10.1145/3531146.3533110,10.1145/3584931.3606951
10.1145/3531146.3533110,10.1145/3563703.3593063
10.1145/3531146.3533110,10.1145/3593013.3594079
10.1145/3531146.3533110,10.1145/3593013.3594016
10.1145/3531146.3533110,10.1145/3544548.3581026
10.1145/3531146.3533110,10.1145/3544548.3580903
10.1145/3531146.3533110,10.1145/3544548.3580882
10.1145/3531146.3533110,10.1145/3579621
10.1145/3531146.3533110,10.1145/3579601
10.1145/3531146.3533110,10.1016/j.ijhcs.2022.102954
10.1145/3531146.3533111,10.1145/3593013.3594071
10.1145/3531146.3533111,10.1145/3593013.3594033
10.1145/3531146.3533111,10.1145/3593013.3594010
10.1145/3531146.3533111,10.1080/1369118X.2023.2166357
10.1145/3531146.3533111,10.1145/3632121
10.1145/3531146.3533112,10.1007/s10618-023-00933-9
10.1145/3531146.3533113,10.1145/3584931.3611279
10.1145/3531146.3533113,10.1145/3600211.3604674
10.1145/3531146.3533113,10.1145/3593013.3594108
10.1145/3531146.3533113,10.1145/3593013.3594090
10.1145/3531146.3533113,10.1145/3593013.3594037
10.1145/3531146.3533113,10.1145/3543507.3583204
10.1145/3531146.3533113,10.1145/3544549.3577062
10.1145/3531146.3533113,10.1145/3544548.3581555
10.1145/3531146.3533113,10.1145/3544548.3581463
10.1145/3531146.3533113,10.1145/3544548.3581278
10.1145/3531146.3533113,10.1145/3544548.3581268
10.1145/3531146.3533113,10.1145/3544548.3581227
10.1145/3531146.3533113,10.1145/3544548.3581026
10.1145/3531146.3533113,10.1145/3544548.3580900
10.1145/3531146.3533113,10.1145/3544548.3580652
10.1145/3531146.3533113,10.1145/3544548.3580645
10.1145/3531146.3533113,10.1145/3579621
10.1145/3531146.3533113,10.1016/j.ijhcs.2022.102954
10.1145/3531146.3533114,10.1145/3597199
10.1145/3531146.3533114,10.1145/3583780.3616003
10.1145/3531146.3533114,10.1145/3610169
10.1145/3531146.3533114,10.1145/3600211.3604705
10.1145/3531146.3533114,10.1145/3593013.3594098
10.1145/3531146.3533114,10.1145/3593013.3594019
10.1145/3531146.3533114,10.1145/3593013.3594005
10.1145/3531146.3533114,10.1145/3593013.3593989
10.1145/3531146.3533114,10.1145/3593013.3593979
10.1145/3531146.3533114,10.3390/e25040660
10.1145/3531146.3533115,10.1145/3617694.3623256
10.1145/3531146.3533115,10.1145/3593013.3594010
10.1145/3531146.3533115,10.1145/3593013.3594005
10.1145/3531146.3533115,10.1007/s12103-022-09717-1
10.1145/3531146.3533116,10.1145/3643544
10.1145/3531146.3533116,10.5555/3620237.3620543
10.1145/3531146.3533116,10.5555/3620237.3620381
10.1145/3531146.3533116,10.1145/3590777.3590790
10.1145/3531146.3533116,10.26599/BDMA.2022.9020047
10.1145/3531146.3533116,10.1145/3544548.3580654
10.1145/3531146.3533116,10.17645/mac.v11i2.6464
10.1145/3531146.3533116,10.1038/s42256-023-00623-7
10.1145/3531146.3533116,10.2139/ssrn.4467977
10.1145/3531146.3533116,10.2139/ssrn.4453463
10.1145/3531146.3533116,10.21105/joss.04270
10.1145/3531146.3533116,10.2139/ssrn.4090786
10.1145/3531146.3533117,10.1145/3597638.3608389
10.1145/3531146.3533117,10.1145/3600211.3604673
10.1145/3531146.3533117,10.1145/3597512.3599713
10.1145/3531146.3533117,10.1109/ICASSP49357.2023.10095057
10.1145/3531146.3533117,10.1145/3539597.3575793
10.1145/3531146.3533118,10.1016/j.ijhcs.2023.103160
10.1145/3531146.3533118,10.1145/3600211.3604655
10.1145/3531146.3533118,10.1145/3593013.3593994
10.1145/3531146.3533118,10.1145/3544548.3581506
10.1145/3531146.3533118,10.1145/3544548.3581161
10.1145/3531146.3533118,10.1145/3544548.3580903
10.1145/3531146.3533119,10.1016/j.ijhcs.2023.103178
10.1145/3531146.3533119,10.1145/3544548.3581063
10.1145/3531146.3533122,10.1145/3617694.3623223
10.1145/3531146.3533122,10.1145/3593013.3594037
10.1145/3531146.3533122,10.1145/3593013.3594032
10.1145/3531146.3533122,10.1145/3593013.3594010
10.1145/3531146.3533122,10.1016/j.ijhcs.2022.102954
10.1145/3531146.3533122,10.3390/mti7020015
10.1145/3531146.3533123,10.1007/s12599-023-00817-8
10.1145/3531146.3533124,10.1007/s43681-022-00218-9
10.1145/3531146.3533124,10.1145/3600211.3604671
10.1145/3531146.3533124,10.5555/3618408.3618520
10.1145/3531146.3533124,10.1145/3593013.3594090
10.1145/3531146.3533124,10.1007/s11229-023-04189-0
10.1145/3531146.3533127,10.1111/ejed.12542
10.1145/3531146.3533127,10.1016/j.ijhcs.2022.102954
10.1145/3531146.3533127,10.1145/3576840.3578296
10.1145/3531146.3533127,10.1017/S1351324922000535
10.1145/3531146.3533128,10.1145/3605764.3623911
10.1145/3531146.3533128,10.1145/3600211.3604707
10.1145/3531146.3533128,10.1109/IITCEE57236.2023.10091036
10.1145/3531146.3533129,10.1145/3583780.3614874
10.1145/3531146.3533132,10.1145/3617694.3623228
10.1145/3531146.3533132,10.1145/3610203
10.1145/3531146.3533132,10.1145/3600211.3604682
10.1145/3531146.3533132,10.1145/3593013.3594134
10.1145/3531146.3533132,10.1145/3593013.3594076
10.1145/3531146.3533132,10.1145/3593013.3594071
10.1145/3531146.3533132,10.1145/3593013.3594060
10.1145/3531146.3533132,10.1145/3593013.3594016
10.1145/3531146.3533132,10.1007/s11229-023-04189-0
10.1145/3531146.3533132,10.1145/3544548.3581114
10.1145/3531146.3533133,10.1145/3593013.3594119
10.1145/3531146.3533133,10.1145/3593013.3594104
10.1145/3531146.3533133,10.1145/3593013.3594093
10.1145/3531146.3533133,10.1145/3593013.3594090
10.1145/3531146.3533133,10.1145/3593013.3594073
10.1145/3531146.3533133,10.1145/3593013.3594023
10.1145/3531146.3533133,10.1145/3593013.3593986
10.1145/3531146.3533133,10.1145/3544548.3581463
10.1145/3531146.3533133,10.1145/3579492
10.1145/3531146.3533135,10.1145/3617694.3623261
10.1145/3531146.3533135,10.1145/3593013.3594104
10.1145/3531146.3533135,10.1145/3593013.3594054
10.1145/3531146.3533135,10.1145/3593013.3594010
10.1145/3531146.3533135,10.1093/jigpal/jzad006
10.1145/3531146.3533135,10.1145/3544548.3581506
10.1145/3531146.3533135,10.1145/3544548.3581393
10.1145/3531146.3533135,10.1145/3544548.3580959
10.1145/3531146.3533135,10.1145/3581641.3584033
10.1145/3531146.3533135,10.1017/dap.2023.8
10.1145/3531146.3533136,10.1145/3593013.3594007
10.1145/3531146.3533136,10.1145/3604915.3610659
10.1145/3531146.3533136,10.1109/ICDMW58026.2022.00119
10.1145/3531146.3533137,10.1145/3593013.3594031
10.1145/3531146.3533138,10.1145/3610978.3640752
10.1145/3531146.3533138,10.1145/3610978.3638168
10.1145/3531146.3533138,10.1007/s00146-023-01675-4
10.1145/3531146.3533138,10.1177/0272989X221146506
10.1145/3531146.3533139,10.1109/SaTML54575.2023.00019
10.1145/3531146.3533139,10.1145/3511808.3557362
10.1145/3531146.3533139,10.1145/3626494
10.1145/3531146.3533140,10.1145/3593013.3594034
10.1145/3531146.3533143,10.1016/j.cola.2023.101209
10.1145/3531146.3533143,10.1145/3593013.3594070
10.1145/3531146.3533143,10.1145/3593013.3594002
10.1145/3531146.3533143,10.1145/3584931.3611276
10.1145/3531146.3533143,10.1109/BigData55660.2022.10020551
10.1145/3531146.3533143,10.1145/3500868.3560923
10.1145/3531146.3533143,10.1007/s43681-023-00289-2
10.1145/3531146.3533144,10.1145/3600211.3604658
10.1145/3531146.3533144,10.1145/3555625
10.1145/3531146.3533144,10.1109/ICCCIS56430.2022.10037649
10.1145/3531146.3533146,10.5555/3618408.3618948
10.1145/3531146.3533147,10.1145/3543507.3583275
10.1145/3531146.3533147,10.1145/3544548.3581090
10.1145/3531146.3533148,10.1145/3571306.3571400
10.1145/3531146.3533149,10.1145/3614407.3643698
10.1145/3531146.3533149,10.24963/kr.2023/78
10.1145/3531146.3533149,10.1145/3593013.3594116
10.1145/3531146.3533149,10.1145/3593013.3594103
10.1145/3531146.3533149,10.1145/3593013.3594081
10.1145/3531146.3533149,10.1145/3593013.3594010
10.1145/3531146.3533149,10.1145/3593013.3593998
10.1145/3531146.3533149,10.1145/3593013.3593988
10.1145/3531146.3533149,10.1145/3593013.3593980
10.1145/3531146.3533150,10.1145/3614407.3643696
10.1145/3531146.3533150,10.1145/3617694.3623261
10.1145/3531146.3533150,10.1145/3610536
10.1145/3531146.3533150,10.1145/3600211.3604751
10.1145/3531146.3533150,10.1145/3600211.3604689
10.1145/3531146.3533150,10.1145/3600211.3604673
10.1145/3531146.3533150,10.1145/3580305.3599454
10.1145/3531146.3533150,10.1145/3597512.3599718
10.1145/3531146.3533150,10.1145/3593013.3594071
10.1145/3531146.3533150,10.1145/3593013.3594033
10.1145/3531146.3533150,10.1145/3565479
10.1145/3531146.3533150,10.1145/3544548.3581407
10.1145/3531146.3533150,10.1145/3544548.3580970
10.1145/3531146.3533150,10.1145/3544548.3580953
10.1145/3531146.3533150,10.1007/s00146-023-01635-y
10.1145/3531146.3533150,10.1080/17449642.2023.2188714
10.1145/3531146.3533150,10.1017/dap.2022.39
10.1145/3531146.3533150,10.1145/3511265.3550446
10.1145/3531146.3533150,10.1007/s00146-022-01572-2
10.1145/3531146.3533150,10.1145/3514094.3534155
10.1145/3531146.3533150,10.1145/3531146.3533228
10.1145/3531146.3533150,10.1145/3531146.3533137
10.1145/3531146.3533151,10.1109/VDS57266.2022.00006
10.1145/3531146.3533151,10.14512/tatup.32.1.24
10.1145/3531146.3533153,10.1145/3563359.3597383
10.1145/3531146.3533153,10.1145/3593013.3594104
10.1145/3531146.3533153,10.1145/3593013.3594081
10.1145/3531146.3533153,10.1145/3593013.3594074
10.1145/3531146.3533153,10.1145/3593013.3594069
10.1145/3531146.3533153,10.1145/3593013.3594010
10.1145/3531146.3533153,10.1007/s10994-023-06319-8
10.1145/3531146.3533153,10.1609/aaai.v37i6.25847
10.1145/3531146.3533153,10.1109/ICOSEC54921.2022.9951987
10.1145/3531146.3533154,10.1145/3597638.3608421
10.1145/3531146.3533154,10.1145/3584371.3612961
10.1145/3531146.3533154,10.1007/s11229-023-04189-0
10.1145/3531146.3533154,10.1145/3544549.3583177
10.1145/3531146.3533154,10.1371/journal.pone.0274272
10.1145/3531146.3533155,10.1136/jme-2022-108447
10.1145/3531146.3533156,10.1145/3600211.3604702
10.1145/3531146.3533156,10.1145/3593013.3594031
10.1145/3531146.3533156,10.1108/IJLSS-02-2023-0030
10.1145/3531146.3533156,10.1145/3544549.3577062
10.1145/3531146.3533156,10.1145/3544548.3581407
10.1145/3531146.3533156,10.1007/978-3-031-21388-5_41
10.1145/3531146.3533157,10.1145/3584931.3606954
10.1145/3531146.3533157,10.1145/3600211.3604705
10.1145/3531146.3533157,10.1145/3593013.3594110
10.1145/3531146.3533157,10.1145/3593013.3594060
10.1145/3531146.3533157,10.1145/3593013.3594033
10.1145/3531146.3533157,10.1145/3593013.3594016
10.1145/3531146.3533157,10.1145/3593013.3594012
10.1145/3531146.3533157,10.1145/3593013.3594005
10.1145/3531146.3533157,10.1145/3593013.3593989
10.1145/3531146.3533157,10.1145/3593013.3593974
10.1145/3531146.3533157,10.1007/s11229-023-04189-0
10.1145/3531146.3533157,10.1145/3544548.3580903
10.1145/3531146.3533157,10.1080/17439884.2023.2185630
10.1145/3531146.3533157,10.14512/tatup.32.1.24
10.1145/3531146.3533157,10.1109/AIPR57179.2022.10092230
10.1145/3531146.3533157,10.1145/3546155.3546690
10.1145/3531146.3533157,10.1007/978-3-031-23223-7_2
10.1145/3531146.3533157,10.1007/978-3-031-17114-7_25
10.1145/3531146.3533157,10.1007/s44206-022-00013-3
10.1145/3531146.3533157,10.1145/3531146.3533194
10.1145/3531146.3533158,10.1145/3632754.3632939
10.1145/3531146.3533158,10.1145/3617694.3623223
10.1145/3531146.3533158,10.1145/3616473
10.1145/3531146.3533158,10.1145/3600211.3604718
10.1145/3531146.3533158,10.1145/3600211.3604673
10.1145/3531146.3533158,10.1080/13501763.2023.2174169
10.1145/3531146.3533158,10.1145/3593013.3594120
10.1145/3531146.3533158,10.1145/3593013.3594113
10.1145/3531146.3533158,10.1145/3593013.3594101
10.1145/3531146.3533158,10.1145/3593013.3594033
10.1145/3531146.3533158,10.1145/3593013.3594010
10.1145/3531146.3533158,10.1007/s43681-023-00289-2
10.1145/3531146.3533158,10.1126/sciadv.abq0701
10.1145/3531146.3533158,10.1145/3544548.3581407
10.1145/3531146.3533158,10.1145/3579466
10.1145/3531146.3533158,10.1007/978-3-031-30047-9_30
10.1145/3531146.3533158,10.1007/s00146-023-01648-7
10.1145/3531146.3533158,10.1007/s10676-023-09699-6
10.1145/3531146.3533158,10.1109/SaTML54575.2023.00050
10.1145/3531146.3533158,10.1177/20539517231171053
10.1145/3531146.3533158,10.1177/14614448221136505
10.1145/3531146.3533158,10.1145/3636509
10.1145/3531146.3533159,10.1145/3600211.3604662
10.1145/3531146.3533159,10.1109/WACVW58289.2023.00038
10.1145/3531146.3533160,10.1145/3593013.3594010
10.1145/3531146.3533160,10.1145/3593013.3594005
10.1145/3531146.3533160,10.1145/3593013.3594000
10.1145/3531146.3533160,10.1145/3544548.3581010
10.1145/3531146.3533161,10.1145/3624700
10.1145/3531146.3533161,10.1145/3617694.3623256
10.1145/3531146.3533161,10.1145/3600211.3604682
10.1145/3531146.3533161,10.1145/3593013.3594134
10.1145/3531146.3533161,10.1145/3593013.3594083
10.1145/3531146.3533161,10.1145/3593013.3594019
10.1145/3531146.3533161,10.1609/aaai.v37i13.26798
10.1145/3531146.3533162,10.1007/s43681-022-00171-7
10.1145/3531146.3533163,10.1145/3630261
10.1145/3531146.3533163,10.1007/s43681-023-00258-9
10.1145/3531146.3533165,10.1145/3593013.3594013
10.1145/3531146.3533166,10.1145/3593013.3594045
10.1145/3531146.3533166,10.1145/3593013.3593998
10.1145/3531146.3533166,10.1038/s41746-023-00766-2
10.1145/3531146.3533166,10.1080/15265161.2022.2075054
10.1145/3531146.3533167,10.1007/s00521-022-07136-1
10.1145/3531146.3533167,10.1177/00491241231155883
10.1145/3531146.3533167,10.1038/s41746-023-00805-y
10.1145/3531146.3533168,10.1145/3607199.3607234
10.1145/3531146.3533168,10.1145/3600211.3604676
10.1145/3531146.3533169,10.1145/3624700
10.1145/3531146.3533169,10.1145/3603555.3608541
10.1145/3531146.3533170,10.1007/978-3-031-28678-0_10
10.1145/3531146.3533170,10.1145/3531146.3533168
10.1145/3531146.3533172,10.1007/s43681-022-00218-9
10.1145/3531146.3533172,10.1145/3617694.3623223
10.1145/3531146.3533172,10.5555/3620237.3620593
10.1145/3531146.3533172,10.1145/3600211.3604682
10.1145/3531146.3533172,10.5555/3618408.3619788
10.1145/3531146.3533172,10.5555/3618408.3619733
10.1145/3531146.3533172,10.1145/3593013.3593980
10.1145/3531146.3533172,10.1007/978-3-031-30545-0_1
10.1145/3531146.3533172,10.1145/3544548.3581278
10.1145/3531146.3533172,10.1145/3555625
10.1145/3531146.3533175,10.1007/s12108-023-09563-6
10.1145/3531146.3533176,10.1007/978-3-031-29504-1_10
10.1145/3531146.3533176,10.1057/s41599-023-01670-6
10.1145/3531146.3533177,10.1145/3617694.3623261
10.1145/3531146.3533177,10.1145/3582515.3609518
10.1145/3531146.3533177,10.1145/3616473
10.1145/3531146.3533177,10.1145/3563657.3596058
10.1145/3531146.3533177,10.1145/3593013.3594100
10.1145/3531146.3533177,10.1145/3593013.3594093
10.1145/3531146.3533177,10.1145/3593013.3594081
