v,w,weight
"Barocas, Solon","Donahue, Kate",1
"Barocas, Solon","Fish, Benjamin",1
"Barocas, Solon","Jacobs, Abigail Z.",1
"Barocas, Solon","Kleinberg, Jon",2
"Barocas, Solon","Laird, Kristen",1
"Barocas, Solon","Levy, Karen",2
"Barocas, Solon","Niklas, Jundefineddrzej",1
"Barocas, Solon","Passi, Samir",1
"Barocas, Solon","Raghavan, Manish",4
"Barocas, Solon","Raji, Deborah",1
"Barocas, Solon","Robinson, David G.",1
"Barocas, Solon","Selbst, Andrew D.",1
"Barocas, Solon","Smith, Jessie J.",1
"Barocas, Solon","Stark, Luke",1
"Barocas, Solon","Wallach, Hanna",3
"Barocas, Solon","Wang, Angelina",1
"Barocas, Solon","Wortman Vaughan, Jennifer",1
"Barreto, Renata","Kennedy, Chris J.",1
"Barreto, Renata","Sachdeva, Pratik S.",1
"Barreto, Renata","von Vacano, Claudia",1
"Barry, Marguerite","Kerr, Aphra",1
"Barry, Marguerite","Smith, Oliver",1
"Basu, Kinjal","DiCiccio, Cyrus",1
"Basu, Kinjal","El Karoui, Noureddine",1
"Basu, Kinjal","Logan, Heloise",1
"Basu, Kinjal","Nandy, Preetam",1
"Basu, Kinjal","Venugopalan, Divya",1
"Bates, Jo","Cameron, David",1
"Bates, Jo","Checco, Alessandro",1
"Bates, Jo","Clough, Paul",1
"Bates, Jo","Hopfgartner, Frank",1
"Bates, Jo","Mazumdar, Suvodeep",1
"Bates, Jo","Sbaffi, Laura",1
"Bates, Jo","Stordy, Peter",1
"Bates, Jo","de la Vega de Le\'{o}n, Antonio",1
"Baumann, Joachim","Hann\'{a}k, Anik\'{o}",1
"Baumann, Joachim","Heitz, Christoph",1
"Baxter, Kathy","Dawson, Julie",1
"Baxter, Kathy","Kenthapadi, Krishnaram",1
"Baxter, Kathy","Kloumann, Isabel",1
"Baxter, Kathy","Schlesinger, Yoav",1
"Baxter, Kathy","Wallach, Hanna",1
"Bedoya, Armando","Elish, Madeleine Clare",1
"Bedoya, Armando","Futoma, Joseph",1
"Bedoya, Armando","Gao, Michael",1
"Bedoya, Armando","Nichols, Marshall",1
"Bedoya, Armando","O'Brien, Cara",1
"Bedoya, Armando","Ratliff, William",1
"Bedoya, Armando","Sendak, Mark",1
"Bel\'{e}m, Catarina","Bento, Jo\~{a}o",1
"Bel\'{e}m, Catarina","Bizarro, Pedro",1
"Bel\'{e}m, Catarina","Gama, Jo\~{a}o",1
"Bel\'{e}m, Catarina","Jesus, S\'{e}rgio",1
"Bel\'{e}m, Catarina","Saleiro, Pedro",1
"Bell, Andrew","Nov, Oded",1
"Bell, Andrew","Solano-Kamaiko, Ian",1
"Bell, Andrew","Stoyanovich, Julia",1
"Bellamy, Rachel K. E.","Chen, Pin-Yu",1
"Bellamy, Rachel K. E.","Dhurandhar, Amit",1
"Bellamy, Rachel K. E.","Hind, Michael",1
"Bellamy, Rachel K. E.","Hoffman, Samuel C.",1
"Bellamy, Rachel K. E.","Houde, Stephanie",1
"Bellamy, Rachel K. E.","Liao, Q. Vera",2
"Bellamy, Rachel K. E.","Luss, Ronny",1
"Bellamy, Rachel K. E.","Mojsilovi\'{c}, Aleksandra",1
"Bellamy, Rachel K. E.","Mourad, Sami",1
"Bellamy, Rachel K. E.","Pedemonte, Pablo",1
"Bellamy, Rachel K. E.","Raghavendra, Ramya",1
"Bellamy, Rachel K. E.","Richards, John",1
"Bellamy, Rachel K. E.","Sattigeri, Prasanna",1
"Bellamy, Rachel K. E.","Shanmugam, Karthikeyan",1
"Bellamy, Rachel K. E.","Singh, Moninder",1
"Bellamy, Rachel K. E.","Varshney, Kush R.",1
"Bellamy, Rachel K. E.","Wei, Dennis",1
"Bellamy, Rachel K. E.","Zhang, Yunfeng",2
"Belli, Luca","Hardt, Moritz",2
"Belli, Luca","Milli, Smitha",2
"Ben-Porat, Omer","Ron, Tom",1
"Ben-Porat, Omer","Shalit, Uri",1
"Benami, Elinor","Ho, Daniel E.",1
"Benami, Elinor","La, Vincent",1
"Benami, Elinor","Lin, Hongjin",1
"Benami, Elinor","Whitaker, Reid",1
"Bender, Emily M.","Gebru, Timnit",1
"Bender, Emily M.","McMillan-Major, Angelina",1
"Bender, Emily M.","Shmitchell, Shmargaret",1
"Benevenuto, Fabricio","Goga, Oana",1
"Benevenuto, Fabricio","Gummadi, Krishna P.",1
"Benevenuto, Fabricio","Henrique, Lucas",1
"Benevenuto, Fabricio","Messias, Johnnatan",1
"Benevenuto, Fabricio","Redmiles, Elissa M.",1
"Benevenuto, Fabricio","Ribeiro, Filipe N.",1
"Benevenuto, Fabricio","Saha, Koustuv",1
"Benthall, Sebastian","Haynes, Bruce D.",1
